id,unix_time,gps_x_dec,gps_y_dec,wojewodztwo,miejscowosc,ulica,predkosc_dopuszczalna,rodzaj_nawierzchni,warunki_atmosferyczne,obszar_zabudowany,czy_sygnalizacja_swietlna
106746189,1514874300.0,15.034083333333333,52.464194444444445,WOJ. LUBUSKIE,GROTÓW,,40,01,01,02,03
106656394,1515007200.0,15.832833333333333,52.068222222222225,WOJ. LUBUSKIE,CHWALIM,,50,01,05,01,03
106654342,1514959200.0,15.426638888888888,52.72580555555556,WOJ. LUBUSKIE,STARE POLICHNO,,90,01,04,02,03
106656365,1515005160.0,15.11125,51.66461111111111,WOJ. LUBUSKIE,GRABIK,,50,01,05,01,03
106655082,1514972400.0,15.675888888888888,51.79505555555556,WOJ. LUBUSKIE,NOWA SÓL,,50,01,05,01,03
106654339,1514955000.0,15.604527777777777,52.72391666666667,WOJ. LUBUSKIE,JASTRZĘBNIK,,50,01,04,01,03
106655327,1514995800.0,15.217083333333333,52.743722222222225,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,SŁOWIAŃSKA,50,01,04,01,01
106663969,1514960700.0,15.161666666666667,51.69166666666666,WOJ. LUBUSKIE,,,90,01,04,02,03
106655365,1515002400.0,15.533583333333333,52.24738888888889,WOJ. LUBUSKIE,ŚWIEBODZIN,JÓZEFA PIŁSUDSKIEGO,50,01,04,01,01
106656393,1514992800.0,15.548416666666666,51.94608333333333,WOJ. LUBUSKIE,,,60,01,05,02,03
106655134,1514988900.0,16.104111111111113,51.7865,WOJ. LUBUSKIE,KRZEPIELÓW,,50,01,03,01,03
106655997,1514994180.0,15.746138888888888,52.01277777777778,WOJ. LUBUSKIE,,,90,01,04,02,03
106664033,1514953800.0,16.119194444444446,51.80927777777777,WOJ. LUBUSKIE,PRZYDROŻE,,60,01,04,01,03
106655805,1514978100.0,15.492999999999999,51.92836111111111,WOJ. LUBUSKIE,ZIELONA GÓRA,WYSZYŃSKIEGO,50,01,05,01,03
106655355,1515010800.0,15.521944444444445,52.24319444444445,WOJ. LUBUSKIE,ŚWIEBODZIN,GEN. SIKORSKIEGO,50,01,05,01,03
106656415,1514985720.0,15.514222222222223,51.940305555555554,WOJ. LUBUSKIE,ZIELONA GÓRA,PODGÓRNA,50,01,05,01,03
106655854,1514961000.0,15.65613888888889,51.873305555555554,WOJ. LUBUSKIE,NIEDORADZ,,40,01,05,02,03
106656244,1514985900.0,15.51838888888889,51.944805555555554,WOJ. LUBUSKIE,ZIELONA GÓRA,WYSPIAŃSKIEGO,50,01,04,01,03
106658044,1514989800.0,16.05902777777778,51.9575,WOJ. LUBUSKIE,,,90,01,01,02,03
106655087,1514983800.0,15.534944444444445,52.87063888888889,WOJ. LUBUSKIE,STRZELCE KRAJEŃSKIE,AL. WOLNOŚCI,50,01,05,01,03
